1,4,4
1,3,3
2,6,1
3,5,2
3,2,2
4,8,3
4,9,5
4,3,2
4,4,2
6,9,1
6,4,4
7,7,3
7,1,0
8,8,5
10,2,3
10,5,5
10,10,2
10,2,1
10,5,2
10,4,1
11,9,2
11,7,2
12,5,5
12,4,3
12,2,1
13,8,2
13,6,2
13,5,2
14,5,1
14,9,3
14,4,2
16,3,3
16,1,4
17,5,5
17,5,1
17,9,3
17,7,2
18,5,3
18,10,1
20,1,2
22,9,3
23,10,3
23,3,4
23,6,2
26,8,5
26,8,1
26,9,4
26,5,3
27,4,5
28,8,4
28,1,3
29,5,1
29,10,2
29,6,1
30,3,3
30,4,5
30,9,5
30,7,1
30,6,1
31,8,1
31,8,3
32,10,5
33,9,3
33,4,1
34,7,1
34,8,2
34,5,5
37,2,1
37,5,2
38,2,1
38,7,3
38,9,5
39,5,3
39,8,3
40,6,2
40,5,5
41,1,1
41,3,0
42,4,2
42,9,2
42,8,2
43,6,1
43,6,0
43,6,3
43,1,2
45,2,2
45,1,4
45,9,1
46,1,5
46,4,3
46,6,1
47,4,1
48,6,5
48,4,1
48,6,1
49,7,1
49,6,2
50,5,5
50,10,3
50,2,2
51,2,5
51,4,5
51,9,5
52,7,3
52,6,5
52,1,4
53,1,5
53,4,5
